iter	Logloss
0	0.6384931952
1	0.5909166436
2	0.5466887499
3	0.5206913836
4	0.4850902602
5	0.4615357832
6	0.4309277442
7	0.4155719378
8	0.3942472039
9	0.3676377647
10	0.3443369449
11	0.3298333472
12	0.3153759939
13	0.2975457657
14	0.2840129825
15	0.2755316685
16	0.2663952317
17	0.2575582485
18	0.2464147926
19	0.2344663442
20	0.2247661636
21	0.2179201283
22	0.2070023869
23	0.1978422119
24	0.1907665565
25	0.1848444176
26	0.1790023284
27	0.1746440507
28	0.1699709972
29	0.1642592108
30	0.1607646174
31	0.1566092464
32	0.1498993974
33	0.1460088097
34	0.1417109368
35	0.1368633838
36	0.1316042615
37	0.1286163445
38	0.1263798395
39	0.1211568786
40	0.1176204372
41	0.1153069091
42	0.1122809394
43	0.1090444735
44	0.1053696133
45	0.1032267988
46	0.1006448079
47	0.09814282491
48	0.09539427667
49	0.09311007157
50	0.09084390646
51	0.0885403695
52	0.08626788032
53	0.08486359987
54	0.08324542704
55	0.08127774703
56	0.0802978776
57	0.07790339193
58	0.07608675657
59	0.07438780274
60	0.07293048264
61	0.07133018522
62	0.06908520595
63	0.06736648931
64	0.0665824962
65	0.06457115916
66	0.06285400271
67	0.06121305242
68	0.05987320485
69	0.05868978879
70	0.057385708
71	0.05704233337
72	0.05586240282
73	0.05465712208
74	0.05352842858
75	0.05215599248
76	0.05135947591
77	0.05070395749
78	0.05028160247
79	0.04946055871
80	0.04846980083
81	0.04779268708
82	0.04636273823
83	0.04609476572
84	0.04541859467
85	0.044825921
86	0.04460183946
87	0.04372164694
88	0.04287084376
89	0.04208851459
90	0.04186701176
91	0.04118608132
92	0.04017739216
93	0.03937105953
94	0.03881466638
95	0.03861222307
96	0.03781543516
97	0.03726980576
98	0.03661210567
99	0.0360594095
100	0.03593919467
101	0.0352228456
102	0.03475130951
103	0.0342949963
104	0.03361257749
105	0.03309526703
106	0.03253173728
107	0.03226105439
108	0.03173890573
109	0.03120190928
110	0.03062983138
111	0.03023169031
112	0.02989282169
113	0.02935311784
114	0.02873371635
115	0.02814828502
116	0.02768555944
117	0.02735126068
118	0.02686139929
119	0.02660798528
120	0.02612786213
121	0.02545338894
122	0.02530887336
123	0.0249271313
124	0.02453519111
125	0.02404207565
126	0.02358657645
127	0.02319406565
128	0.02271583589
129	0.02258706292
130	0.02218459042
131	0.02203161248
132	0.02180234957
133	0.02121220772
134	0.02099876623
135	0.02059682144
136	0.02036329692
137	0.01993332647
138	0.01959465039
139	0.01913422321
140	0.019024412
141	0.01890661926
142	0.01856064098
143	0.01828163239
144	0.01795519346
145	0.01768980066
146	0.01732987739
147	0.01705563218
148	0.01675523175
149	0.0165498955
150	0.01647320951
151	0.01623351504
152	0.01595383109
153	0.01568195511
154	0.01541817837
155	0.01518522646
156	0.01497694638
157	0.01475736087
158	0.01452937685
159	0.01432762186
160	0.01412671181
161	0.0138543949
162	0.0136284479
163	0.01335003785
164	0.01321581118
165	0.01303146075
166	0.01299986081
167	0.01283837362
168	0.01260499575
169	0.01242395724
170	0.01230892277
171	0.0121278284
172	0.01210851151
173	0.012017685
174	0.01191593114
175	0.01181335629
176	0.01174640955
177	0.0116369445
178	0.01148555967
179	0.01140694838
180	0.01125590871
181	0.01114020886
182	0.01100534375
183	0.01089087391
184	0.01075788223
185	0.0106953188
186	0.01052122934
187	0.01044257814
188	0.01027804638
189	0.01012136048
190	0.01000863239
191	0.009857241579
192	0.009723493744
193	0.009614633217
194	0.009498931374
195	0.00935415244
196	0.009259118196
197	0.009090570226
198	0.008996587418
199	0.008907954563
